date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:47	2676/2676	---M--	200	added ('OK')	image/png	etag:%22a74-570cf67a748f2%22	http://localhost/dada/wp-content/uploads/2015/12/home_journey_icon2.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/home_journey_icon2.png	(from http://localhost/dada/)
22:28:47	1750/1750	---M--	200	added ('OK')	image/png	etag:%226d6-570cf67ad5057%22	http://localhost/dada/wp-content/uploads/2015/12/home_journey_icon3.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/home_journey_icon3.png	(from http://localhost/dada/)
22:29:07	250725/250725	---M--	200	added ('OK')	image/jpeg	etag:%223d365-570cf6cd6b439%22	http://localhost/dada/wp-content/uploads/2015/12/home_journey_subheader1.jpg	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/home_journey_subheader1.jpg	(from http://localhost/dada/)
22:29:09	135220/135220	---M--	200	added ('OK')	image/jpeg	etag:%2221034-570cf67b9b0a5%22	http://localhost/dada/wp-content/uploads/2015/12/home_journey_destination1.jpg	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/home_journey_destination1.jpg	(from http://localhost/dada/)
22:29:10	141286/141286	---M--	200	added ('OK')	image/jpeg	etag:%22227e6-570cf67fac43d%22	http://localhost/dada/wp-content/uploads/2015/12/home_journey_destination4.jpg	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/home_journey_destination4.jpg	(from http://localhost/dada/)
22:29:14	77699/77699	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Jul%202018%2016:29:10%20GMT	http://localhost/dada/hello-world/	C:/My%20Web%20Sites/first%20site/localhost/dada/hello-world/index.html	(from http://localhost/dada/)
22:29:30	88081/88081	---M--	200	added ('OK')	image/jpeg	etag:%2215811-570cf69e2ac2e%22	http://localhost/dada/wp-content/uploads/2015/12/home_journey_blog5-960x700.jpg	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/home_journey_blog5-960x700.jpg	(from http://localhost/dada/)
22:29:31	142383/142383	---M--	200	added ('OK')	image/jpeg	etag:%2222c2f-570cf69a08f69%22	http://localhost/dada/wp-content/uploads/2015/12/home_journey_blog8-960x700.jpg	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/home_journey_blog8-960x700.jpg	(from http://localhost/dada/)
22:29:32	163321/163321	---M--	200	added ('OK')	image/jpeg	etag:%2227df9-570cf688726bd%22	http://localhost/dada/wp-content/uploads/2015/12/home_journey_destination6.jpg	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/home_journey_destination6.jpg	(from http://localhost/dada/)
22:29:32	2863/2863	---M--	200	added ('OK')	image/jpeg	etag:%22b2f-570cf6993798e%22	http://localhost/dada/wp-content/uploads/2015/12/home_journey_blog8-80x80.jpg	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/home_journey_blog8-80x80.jpg	(from http://localhost/dada/)
22:29:38	84378/84378	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Jul%202018%2016:29:30%20GMT	http://localhost/dada/vivamus-non-augue-mauris-amet/	C:/My%20Web%20Sites/first%20site/localhost/dada/vivamus-non-augue-mauris-amet/index.html	(from http://localhost/dada/)
22:29:39	82148/82148	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Jul%202018%2016:29:32%20GMT	http://localhost/dada/donec-vel-eros-mauris-amet-suspendisse-in-erat-mi-sed/	C:/My%20Web%20Sites/first%20site/localhost/dada/donec-vel-eros-mauris-amet-suspendisse-in-erat-mi-sed/index.html	(from http://localhost/dada/)
22:29:40	89475/89475	---MC-	200	added ('OK')	text/html	date:Thu,%2012%20Jul%202018%2016:29:32%20GMT	http://localhost/dada/4-2/	C:/My%20Web%20Sites/first%20site/localhost/dada/4-2/index.html	(from http://localhost/dada/)
22:29:40	4000/4000	---M--	200	added ('OK')	application/javascript	etag:%22fa0-54059f79bc080%22	http://localhost/dada/wp-includes/js/jquery/ui/core.min.js?ver=1.11.4	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-includes/js/jquery/ui/core.mine899.js	(from http://localhost/dada/)
22:29:41	14585/14585	---M--	200	added ('OK')	application/javascript	etag:%2238f9-570cf0d56d381%22	http://localhost/dada/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.0.3	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/plugins/contact-form-7/includes/js/scriptsaead.js	(from http://localhost/dada/)
22:29:41	6908/6908	---M--	200	added ('OK')	application/javascript	etag:%221afc-54059f79bc080%22	http://localhost/dada/wp-includes/js/jquery/ui/widget.min.js?ver=1.11.4	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-includes/js/jquery/ui/widget.mine899.js	(from http://localhost/dada/)
22:29:41	3148/3148	---M--	200	added ('OK')	application/javascript	etag:%22c4c-54059f79bc080%22	http://localhost/dada/wp-includes/js/jquery/ui/mouse.min.js?ver=1.11.4	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-includes/js/jquery/ui/mouse.mine899.js	(from http://localhost/dada/)
22:29:43	8584/8584	---M--	200	added ('OK')	application/javascript	etag:%222188-54059f79bc080%22	http://localhost/dada/wp-includes/js/jquery/ui/accordion.min.js?ver=1.11.4	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-includes/js/jquery/ui/accordion.mine899.js	(from http://localhost/dada/)
22:29:44	12110/12110	---M--	200	added ('OK')	application/javascript	etag:%222f4e-54059f79bc080%22	http://localhost/dada/wp-includes/js/jquery/ui/tabs.min.js?ver=1.11.4	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-includes/js/jquery/ui/tabs.mine899.js	(from http://localhost/dada/)
22:29:44	2449/2449	---M--	200	added ('OK')	application/javascript	etag:%22991-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/js/menu.js?ver=17.8	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/js/menu4d75.js	(from http://localhost/dada/)
22:29:45	24899/24899	---M--	200	added ('OK')	application/javascript	etag:%226143-54059f79bc080%22	http://localhost/dada/wp-includes/js/jquery/ui/sortable.min.js?ver=1.11.4	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-includes/js/jquery/ui/sortable.mine899.js	(from http://localhost/dada/)
22:29:45	1896/1896	---M--	200	added ('OK')	application/javascript	etag:%22768-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/assets/animations/animations.min.js?ver=17.8	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/assets/animations/animations.min4d75.js	(from http://localhost/dada/)
22:29:46	6704/6704	---M--	200	added ('OK')	application/javascript	etag:%221a30-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/js/parallax/translate3d.js?ver=17.8	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/js/parallax/translate3d4d75.js	(from http://localhost/dada/)
22:29:53	52702/52702	---M--	200	added ('OK')	application/javascript	etag:%22cdde-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/assets/jplayer/jplayer.min.js?ver=17.8	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/assets/jplayer/jplayer.min4d75.js	(from http://localhost/dada/)
